date,name,developer,min_price,max_price,min_square,max_square,flat_count,class_building,type_building,parking,address,trimming,num_floors,origin_url
2013-04-10T20:00:00.000Z,ЖК Лондон Парк,Л1,68000,88500,27.35,147.19,2180,Бизнес-класс,Кирпично-монолитный,true,пр. Просвещения. 43А  (Посмотреть на карте),под чистовую,2-25,https://spbguru.ru/novostroyki/208-london-park
2013-04-15T20:00:00.000Z,ЖК Лондон Парк,Л1,68000,88500,27.35,147.19,2180,Бизнес-класс,Кирпично-монолитный,true,пр. Просвещения. 43А  (Посмотреть на карте),под чистовую,2-25,https://spbguru.ru/novostroyki/208-london-park
2013-05-16T20:00:00.000Z,ЖК Лондон Парк,Л1,68000,88500,27.35,147.19,2180,Бизнес-класс,Кирпично-монолитный,true,пр. Просвещения. 43А  (Посмотреть на карте),под чистовую,2-25,https://spbguru.ru/novostroyki/208-london-park
2013-12-25T20:00:00.000Z,ЖК Юттери,ЛенСтройТрест,55757,60865,29.89,83.24,2100,Комфорт-класс,Панельный,true,Лагерное ш./Понтонная ул.  (Посмотреть на карте),без отделки,4,https://spbguru.ru/novostroyki/372-jutteri
2013-12-25T20:00:00.000Z,ЖК Яблоневый цвет,Матрикс,33145,44667,27,93.59,270,Эконом класс,Монолитный,true,пос. Малое Верево  (Посмотреть на карте),с отделкой и без,8,https://spbguru.ru/novostroyki/370-jablonevyj-tsvet
2013-04-10T20:00:00.000Z,ЖК Северная долина,Главстрой-СПб,64000,69000,36.32,87.68,-1,-1,Кирпично-монолитный,false,пос. Парголово. 4-й Верхний пер.. участок 15  (Посмотреть на карте),с отделкой,26,https://spbguru.ru/novostroyki/31-severnaja-dolina
2013-09-22T20:00:00.000Z,ЖК Северная долина,Главстрой-СПб,64000,69000,36.32,87.68,4614,Эконом класс,Кирпично-монолитный,true,пос. Парголово. 4-й Верхний пер.. участок 15  (Посмотреть на карте),с отделкой,26,https://spbguru.ru/novostroyki/31-severnaja-dolina
2013-10-30T20:00:00.000Z,ЖК Северная долина,Главстрой-СПб,66000,70000,36.32,87.68,4614,Эконом класс,Кирпично-монолитный,true,пос. Парголово. 4-й Верхний пер.. участок 15  (Посмотреть на карте),с отделкой,26,https://spbguru.ru/novostroyki/31-severnaja-dolina
2013-11-30T20:00:00.000Z,ЖК Северная долина,Главстрой-СПб,60281,66000,36.23,87.68,4614,Эконом класс,Кирпично-монолитный,true,пос. Парголово. 4-й Верхний пер.. участок 15  (Посмотреть на карте),с отделкой,26,https://spbguru.ru/novostroyki/31-severnaja-dolina
2013-08-11T20:00:00.000Z,ЖК Юнтолово,Главстрой-СПб,50000,56000,36.14,100.25,3000 (1 очередь),Эконом класс,Кирпично-монолитный,true,пос. Ольгино  (Посмотреть на карте),с отделкой,4-9,https://spbguru.ru/novostroyki/29-juntolovo
2013-11-07T20:00:00.000Z,ЖК Юнтолово,Главстрой-СПб,50000,56000,36.14,100.25,3000 (1 очередь),Эконом класс,Кирпично-монолитный,true,пос. Ольгино  (Посмотреть на карте),с отделкой,4-9,https://spbguru.ru/novostroyki/29-juntolovo
2013-12-02T20:00:00.000Z,ЖК Юнтолово,Главстрой-СПб,50000,56000,36.14,100.25,3000 (1 очередь),Эконом класс,Кирпично-монолитный,true,пос. Ольгино  (Посмотреть на карте),с отделкой,4-9,https://spbguru.ru/novostroyki/29-juntolovo
2013-08-17T20:00:00.000Z,ЖК Grona Lund,NCC,60000,65000,40.24,88.36,1521,Комфорт-класс,Панельный,true,11 км. Дороги жизни. Всеволожск  (Посмотреть на карте),под чистовую,6,https://spbguru.ru/novostroyki/348-grona-lund
2013-09-17T20:00:00.000Z,ЖК Grona Lund,NCC,60000,65000,40.24,88.36,1521,Комфорт-класс,Панельный,true,11 км. Дороги жизни. Всеволожск  (Посмотреть на карте),под чистовую,6,https://spbguru.ru/novostroyki/348-grona-lund
2013-08-03T20:00:00.000Z,ЖК Гармония,Акватерн,50000,53000,39.07,92.21,1030,Эконом класс,Кирпично-монолитный,true,пос. Колтуши. переул. Школьный  (Посмотреть на карте),с отделкой,9,https://spbguru.ru/novostroyki/344-garmonija
2013-10-01T20:00:00.000Z,ЖК Гармония,Акватерн,50000,53000,39.07,92.21,1030,Эконом класс,Кирпично-монолитный,true,пос. Колтуши. переул. Школьный  (Посмотреть на карте),с отделкой,9,https://spbguru.ru/novostroyki/344-garmonija
2013-11-02T20:00:00.000Z,ЖК Гармония,Акватерн,49500,50500,39.56,92.21,1030,Эконом класс,Кирпично-монолитный,true,пос. Колтуши. переул. Школьный  (Посмотреть на карте),с отделкой,9,https://spbguru.ru/novostroyki/344-garmonija
2013-08-18T20:00:00.000Z,ЖК Виктория (Мурино),Мавис,62000,62000,25.42,66.68,696 (1 оч.),Эконом класс,Кирпично-монолитный,true,пос. Мурино. земли САОЗТ «Ручьи»  (Посмотреть на карте),под чистовую,16-24,https://spbguru.ru/novostroyki/365-viktorija-murino
2013-11-08T20:00:00.000Z,ЖК Виктория (Мурино),Мавис,72935,73000,25.42,66.68,696 (1 оч.),Эконом класс,Кирпично-монолитный,true,пос. Мурино. земли САОЗТ «Ручьи»  (Посмотреть на карте),под чистовую,16-24,https://spbguru.ru/novostroyki/365-viktorija-murino
2013-08-16T20:00:00.000Z,ЖК Леонтьевский мыс,Леонтьевский Мыс,150000,150000,59.8,298.3,399,Элит-класс,Кирпично-монолитный,true,Ждановская ул.. д. 45. лит. А  (Посмотреть на карте),с отделкой и без,10-13,https://spbguru.ru/novostroyki/105-leontevskij-mys
2013-09-16T20:00:00.000Z,ЖК Леонтьевский мыс,Леонтьевский Мыс,150000,150000,59.8,298.3,399,Элит-класс,Кирпично-монолитный,true,Ждановская ул.. д. 45. лит. А  (Посмотреть на карте),с отделкой и без,10-13,https://spbguru.ru/novostroyki/105-leontevskij-mys
2013-04-15T20:00:00.000Z,ЖК Маршал,Л1,0,0,36,86,-1,-1,Кирпично-монолитный,false,Кондратьевский пр. д.58  (Посмотреть на карте),без отделки,16-17,https://spbguru.ru/novostroyki/25-marshal
2013-08-19T20:00:00.000Z,ЖК Маршал,Л1,60311,71209,24.32,86.95,1500,Эконом класс,Кирпично-монолитный,true,Кондратьевский пр. д.58  (Посмотреть на карте),без отделки,16-17,https://spbguru.ru/novostroyki/25-marshal
2013-06-29T20:00:00.000Z,ЖК Муринский Посад,ЦДС,63500,88500,25.68,75.32,1500,Комфорт-класс,Кирпично-монолитный,true,пос. Мурино  (Посмотреть на карте),под чистовую,27,https://spbguru.ru/novostroyki/228-murinskij-posad
2013-05-23T20:00:00.000Z,ЖК Империал,Л1,78000,81000,80.36,297.89,843,Бизнес-класс,Кирпично-монолитный,true,ул. Киевская / Московский пр.  (Посмотреть на карте),под чистовую,5-19,https://spbguru.ru/novostroyki/216-imperial
2013-10-14T20:00:00.000Z,ЖК Империал,Л1,78000,81000,80.36,297.89,843,Бизнес-класс,Кирпично-монолитный,true,ул. Киевская / Московский пр.  (Посмотреть на карте),под чистовую,5-19,https://spbguru.ru/novostroyki/216-imperial
2013-08-16T20:00:00.000Z,ЖК Jaanila country,ЛенСтройТрест,55338,65000,26.93,81.34,-1,Комфорт-класс,Панельный,true,пос. Янино  (Посмотреть на карте),с отделкой и без,5-14,https://spbguru.ru/novostroyki/314-jaanila-country
